"name","review","grade"
"루브리카",10,4.5
"평가옥 삼성점",15,4
"강강술래 청담점",10,4.5
"이로도리",13,4.5
"고디바",11,4
"마노디셰프",10,4.5
"놀부부대찌개",8,4.5
"아우어 베이커리",15,4
"일일향 - 압구정 본점",19,4
"망고 식스 압구정점",34,3.5
"두크렘",21,3.5
"레스쁘아 뒤 이부",26,4
"피양콩할마니",9,4.5
"갯벌의진주",11,4.5
"카페마마스",10,4
"아티제",12,4
"신선설농탕 청담점",10,4
"봉밀가",12,4.5
"연타발 압구정 본점",15,4
"강서면옥 압구정점",13,4
"마르쉐 무역센터점",19,4
"아비꼬 신사가로수길점",17,4
"김돈이",11,4
"세븐블레스",7,5
"한잔의추억",11,4
"부자피자",11,4.5
"오통영 이촌점",11,4.5
"킹콩스테이크",13,4
"금수복국 대치점",17,4
"뜨락",7,4.5
"배꼽집",7,4.5
"메이드 레스토랑",10,4.5
"대우식당",9,4.5
"하시",9,4.5
"브라더후드키친",16,4
"나즈드라비",11,4
"청국장과보리밥 청담점",13,4
"카토멘",9,4.5
"한일관",17,4
"백곰막걸리&양조장",7,4.5
"슬링 펍앤브런치",12,4.5
"마녀김밥",9,4
"치폴라로쏘 삼성점",14,4
"시추안하우스",12,4
"훌리오",8,4.5
"루프탑바이류니끄",6,5
"고센 청담점",22,4
"광양불고기본가",8,4.5
"신사소곱창",9,4
"돈수백 - 강남역직영점",7,4.5
"자연은맛있다",14,4
"하남돼지집",7,4.5
"레스토랑 핫이슈",19,4
"세종한우",7,4.5
"JS가든",8,4.5
"롯데리아",10,4.5
"정성한줄",8,4.5
"애란궁",6,4.5
"하코네",45,4.5
"뽕나무쟁이",6,4.5
"파리바게뜨",9,4.5
"죠스떡볶이",8,4.5
"하시",8,4.5
"한성 칼국수",7,4.5
"도치피자 강남점",19,4
"두끼",12,4
"명인등심 - 청담본점",7,4.5
"논현손칼국수",6,4.5
"부자피자",10,4
"그랜드 델리",5,5
"서래갈매기 강남점",8,4
"순남시래기",7,4.5
"램브라튼",6,4.5
"더스트릿",9,4
"진대감 논현점",9,4
"커피빈",6,4.5
"테이블스타",9,4
"브라운브레드",7,4.5
"리틀앤머치",7,4.5
"그릴파이브타코",7,4.5
"호수삼계탕",6,4.5
"하남돼지집",6,4.5
"백미당 - 압구정현대백화점",8,4
"맥도날드",8,4
"라미띠에",10,4.5
"알베르",9,4
"샤이바나 코엑스몰점",18,3.5
"애류헌",8,4.5
"그란구스또",6,5
"논골집 청담점",10,4
"외계인방앗간",7,4.5
"동해도 테헤란점",17,4
"마포숯불갈비",9,4
"해남천일관",7,4.5
"교촌치킨",6,4.5
"바르다김선생",6,4.5
"고요남",11,4
"레드 마블 하우스",9,4.5
"울프강스테이크하우스",10,4
"붓처스컷",15,4
"임프레션",4,5
"스시유",8,4.5
"뚜레쥬르",8,4.5
"신 마포 갈매기 가로수길점",12,4
"불이아 강남점",7,4.5
"양마니 청담점",12,4
"코나야 - 파르나스몰점",7,4.5
"오미가 신사점",7,4
"청국장과보리밥",7,4.5
"공차",6,4.5
"오가다 코엑스몰점",10,4
"진지방순대국",8,4
"미스터피자 역삼점",10,4
"팬아시아",11,4
"이치에",7,4.5
"쭈불앤쭈불",6,4.5
"파리바게뜨",9,4
"스시코우지",6,4.5
"앤티앤스",6,4.5
"깐부치킨",7,4.5
"청담이상",7,4
"모박사부대찌개",8,4
"일치프리아니",7,4.5
"신사연어",5,4.5
"피카",8,4
"폴바셋",5,5
"세시 셀라 압구정점",9,4
"명동관",5,4.5
"투썸플레이스",8,4
"이타카",4,5
"우제홍참치",4,5
"공차",7,4.5
"공차",6,4.5
"마노디셰프",7,4
"클라우드",8,4
"갓포아키",10,4
"레이지쿠오레",6,4.5
"남순남순대국",8,4.5
"마켓오 - 도곡점",6,4
"흑돈가",12,4
"피양옥",10,4
"연타발",12,4
"아웃백스테이크하우스 삼성점",25,3.5
"첨벙아구찜",7,4.5
"폴바셋 - 서울세관사거리점",6,4
"김돈이",5,4.5
"논현 삼계탕 영동점",6,4.5
"오븐에빠진닭",5,5
"빌리엔젤케익컴퍼니",5,4.5
"코너스톤",5,5
"알라프리마",8,4
"파리크라상",6,4.5
"핫스토리",7,4
"아카시아 카페 비스트로",12,4
"우 텐더",7,4
"오아시스",11,4
"제레미버거",5,4.5
"buonasera",16,4
"이남장 삼성동점",8,4.5
"하나우동",5,4.5
"투썸플레이스",6,4
"변강쇠떡볶이",6,4.5
"록스플레이트",4,5
"산동교자관",5,4.5
"마이쏭",9,4
"테라로사",5,4.5
"돌곰네",6,4
"벽제갈비",5,5
"치찌중화식탁",4,5
"하남돼지집",6,4.5
"구스아일랜드 브루하우스",21,3.5
"생어거스틴",8,4
"사보텐",8,4
"소적두",5,4.5
"빠따슈",4,5
"오설록티하우스",8,4
"빈스빈스",6,4.5
"파리바게뜨",6,4
"하루",11,4
"영동소금구이",5,5
"미엘",6,4
"oh통영 청담점",7,4.5
"두레국수",7,4
"루안",5,4.5
"옛고을장원김밥",5,5
"홀리차우 압구정점",20,3.5
"하루",7,4
"골드피쉬딤섬퀴진",8,4
"홍익궁중전통육개장",6,4
"클래치 앤 바르도 청담",13,4.5
"삼원가든",5,4.5
"피어세븐틴",7,4
"갓포아키",7,4.5
"우동명가 기리야마본진",4,5
"이도곰탕",7,4
"심양",7,4
"유노추보",10,4
"스시기요세",3,5
"오리엔탈 스푼 압구정 본점",12,4
"곤트란쉐리에",8,4.5
"송",8,4
"대장금",8,4
"루프탑바이테이스팅룸",7,4.5
"홈수끼",6,4
"이도 곰탕",9,4
"라뽐므",6,4.5
"파씨오네",7,4.5
"오스테리아꼬또",8,4
"KFC 일원점",5,4.5
"박서방순대국밥 삼성본점",11,4
"놀부부대찌개 강남씨티점",11,4
"폴바셋",5,4.5
"티마하우스",5,5
"음세이로무시",3,5
"갯벌의진주",5,4.5
"강남고로케",4,5
"사보텐",6,4
"안가 - 신논현직영점",4,5
"죠스떡볶이",4,5
"롯데리아 강남우성사거리",7,4
"문어앤치킨",5,4.5
"을밀대",6,4
"안성소갈비집",4,5
"이끼롤까스",8,4
"만면희색 - 강남점",5,4
"샐러디",7,4
"더메나쥬리",9,4
"니뽕내뽕",5,4
"라망드쉐프",3,5
"무오키",4,4.5
"홍영재장수청국장",5,4
"란주도삭면",5,4.5
"두부공작소",5,4
"리틀사이공",6,4
"양촌리",6,4.5
"예소담",6,4.5
"푸드카페",3,5
"부산아구",4,4.5
"미드가르드",6,4.5
"폴바셋",5,4.5
"소프레소",5,4.5
"코바치",4,5
"몽중헌",10,4
"부산양곱창",5,5
"브릭오븐",5,4.5
"봉추찜닭",5,4.5
"파리바게뜨",4,5
"지호한방삼계탕 삼성점",6,4.5
"한우리",9,4
"와쏘골뱅이탕",4,4.5
"더팀버하우스",4,5
"논현양꼬치",5,5
"깡통의 전설",3,5
"가나돈까스",7,4
"리김밥",11,3.5
"참숯닭갈비반",3,5
"포메인 강남 센터점",17,4
"미코",5,4.5
"원강",4,4.5
"떡도리탕",5,4
"김작가의이중생활",4,5
"리틀사이공",6,4
"니뽕내뽕",6,4
"조선옥",5,4.5
"카페올로",5,4.5
"꼬르소꼬모카페",4,5
"사람사는 고깃집 김일도 신사점",3,5
"칠백식당",4,4.5
"깐부치킨",9,4
"마마된장",4,5
"스코파 더 쉐프",13,4
"서브웨이",5,4
"인 더 키친",11,4
"육대장",8,4
"스시타쿠",5,4.5
"DOM 펍&바",6,4
"메콩타이 강남한티역점",6,4
"마망갸또",7,4
"대치동함흥냉면",6,4
"능라도 강남점",6,4
"탱크떡볶이",5,4
"타코벨",7,4
"메콩타이 강남삼성역점",9,4
"소스",5,4
"육덕식당",4,4.5
"포메인",8,4.5
"베질루르",5,4.5
"정선",5,4
"포사이공",5,4.5
"바르미샤브샤브",6,4
"순미",4,5
"팔레드고몽",5,4.5
"카페포엠",6,4
"소연 삼성점",5,4
"깐부치킨",4,5
"평양면옥",7,4
"자유참치",4,4.5
"탐앤탐스",9,4
"생어거스틴 - 도곡점",5,4
"전주현대옥",7,4
"윤화돈까스전문",5,4.5
"바토스",4,4.5
"믹솔로지",3,5
"스타차이나",5,4
"ASSOULINE",4,5
"브라운 돈까스 선릉점",5,4
"맛찬들왕소금구이",4,4.5
"아웃백",5,4
"리북집",7,4
"톡톡",10,4
"T.G.I.F. 강남시티점",6,4.5
"긴자",5,4
"임영옥바지락칼국수",4,4.5
"치킨매니아",4,4.5
"고봉민김밥인",5,4
"빌라 드 스파이시",16,3.5
"볼트스테이크하우스",8,4
"와비사비",6,4
"쥬안",4,4.5
"토마틸로",6,4
"타워차이",4,4.5
"기소야 삼성점",7,4
"일일향",5,4.5
"JS 가든",12,4
"르타오",7,4
"아야진생태찌개",5,4
"브라운돈까스",4,4.5
"떡찌니",4,5
"더플레이스",10,4
"반포식스",4,4.5
"고향집",4,4.5
"왕재",5,4.5
"젠하이드어웨이",6,4
"알부자",8,4
"까폼",3,4.5
"설빙",4,5
"홍대돈부리 코엑스몰점",4,4.5
"경성양꼬치",4,4.5
"플라잉볼",4,4.5
"김준석꼬치",3,4.5
"문배동육칼",8,4
"호화반점",4,4.5
"생활맥주 은마아파트점",4,5
"VIPS",8,4
"Hanilkwan Apgujeong",6,4
"진상샤브샤브",5,4
"숙아채콩나물국밥",4,4.5
"공차",4,4.5
"논골집",4,4.5
"마담파이",4,5
"해우리",4,5
"국대떡볶이",4,4.5
"스타 쉐프",5,4
"맥도날드",10,3.5
"서평기사식당",6,4
"후레쉬빌",4,4.5
"투썸플레이스",9,4
"복이오",5,4.5
"백운봉막국수",5,4
"공리",6,4
"남서울민물장어",4,4.5
"솔트",4,4.5
"청산",4,4.5
"자연석 돌구이",5,4.5
"카페티",6,4
"그래머시홀",6,4
"2시의 테이블 by 메종 드 꾸숑",4,5
"24절기",6,4
"나무이자카야",4,4.5
"대청뼈다귀감자탕",3,4.5
"나주가",3,5
"정식당",5,4
"오리엔탈스푼",8,4
"한방삼계탕",5,4
"갓덴스시",4,4.5
"뺑드빱바",3,5
"교촌치킨 청담역점",3,5
"르알래스카",4,4.5
"스위트에삐",4,4.5
"만두집",5,4
"뽀모도로 코엑스몰점",12,4
"더 팬케이크 에피데믹",14,3.5
"탑클라우드52",3,4.5
"만복국수집",5,4
"버거킹",8,4
"북촌손만두",5,4
"파파호 청담점",14,3.5
"구루메스시",5,4
"써스티몽크",5,5
"삼성 국수",8,4
"한미리 역삼점",5,4.5
"맛나분식",5,4.5
"알로 페이퍼가든",5,4
"트리아농",4,4.5
"매드포갈릭",5,4
"가연",3,4.5
"수지스",3,4.5
"유가네",7,4
"광부",4,4.5
"그랜드하얏트델리",4,5
"신가네솥뚜껑볶음밥",4,4.5
"크래프트한스 강남직영점",11,3.5
"오향족발",4,4.5
"헥사곤 가로수길점",6,4
"미앙",2,5
"샐러디언",4,5
"봄베이 브로이 서울 강남점",6,4
"그때그집",4,4.5
"T6",3,4.5
"무화잠",5,4
"할아버지돈까스",4,4.5
"뱀부하우스",3,4.5
"강남불백",7,4
"도쿄등심 청담점",2,5
"이도다이닝",5,4.5
"카페마당",3,4.5
"버거킹",4,4.5
"볼피노 - 서울",2,5
"계절밥상 강남롯데점",6,4
"반하는보쌈앤밥상",4,4.5
"속초코다리냉면",4,4.5
"지구당",5,4
"온더보더",3,4.5
"파복스",3,4.5
"스쿠로",3,4.5
"서가앤쿡",4,4.5
"오미식당",5,4
"낭만식당",4,4.5
"히라메키",4,4.5
"후터스",31,3.5
"무교동유정낙지",3,4.5
"크리스탈제이드",6,4
"사람사는 고깃집 김일도 선릉점",3,4.5
"낭만옵빠",3,4.5
"피에르에르메",4,4.5
"모닝테이블",3,4.5
"크리스탈제이드",2,5
"폴바셋",5,4
"모노치즈",4,4.5
"듀자미",9,3.5
"더달달",3,4.5
"어바웃샤브",3,5
"아티제",6,4
"오엔",18,4
"OUI",3,4.5
"라바W",3,4.5
"우나스",2,5
"리치망고",5,4
"타니도리",3,5
"빠리포차",3,4.5
"카니발 피자 강남점",6,4
"옛날김치돼지찌개",3,4.5
"반장떡볶이",6,4
"강창구찹쌀진순대",3,4.5
"맥도날드",4,4.5
"세븐스프링스 역삼점",9,4
"이예나파이",5,4
"쏘도베 레스토랑",4,4.5
"딸부자불백",6,4
"더드림",3,4.5
"디쉬룸바이도레도레 SFC점",9,3.5
"카페톨릭스",4,4.5
"그린네은쟁반",2,5
"미소야",3,4.5
"이삭토스트",2,5
"맥도날드",6,4
"송옥메밀국수",5,4
"뽕나무쟁이",7,3.5
"신의주찹쌀순대",2,5
"덤장",3,4.5
"옥산",6,4
"부산아지매국밥",5,4
"호치킨",4,4.5
"다채",6,5
"빙빙빙",3,4.5
"카페 엠",6,4
"태가원",3,4.5
"강남교자",3,4.5
"레스쁘아",3,5
"제주항",4,4.5
"농민백암왕순대",4,4.5
"바디 쉐프",3,5
"금수복국",4,4
"식후경",3,4.5
"셰프의국수앤육개장",3,4.5
"제이제이비어",2,5
"홍운장",3,4.5
"김북순큰남비집",3,4.5
"공차",5,4
"소풍분식",4,4.5
"압구정 함박",3,4.5
